Raw_Title,Raw_Price,Raw_Mileage,Raw_Metadata,Colour,Condition,Engine/Motor Capacity,Fuel Type,Manufacturer,Mileage,Model,Model Year,Power,Register Year,Transmission,Vehicle Type
Hyundai Accent 2003,"Rs: 2,625,000",km Find,"2026-02-22 | Wellawatta (Colombo 06) 165,500",black,Used,1200,Petrol,Hyundai,165500,Accent,2003,1200,2006,Manual,Car(Hatchback)
Honda Civic 2017,"Rs: 12,500,000",km Find,"2026-02-19 | Telijjawila 82,285",silver,Used,1000,Petrol,Honda,82285,Civic,2017,1000,2018,Automatic,Car()
KIA Sephia 2002,"Rs: 2,600,000",km Find,"2026-02-10 | Mattegoda 162,481",gray,Used,1331,Petrol,KIA,162481,Sephia,2002,1331,2003,Automatic,Car(Sedan)
Toyota Belta 2007,"Rs: 5,500,000",km Find,"2026-02-06 | Homagama 166,600",silver,Used,1000,Petrol,Toyota,166600,Belta,2007,1000,2009,Automatic,Car(Saloon)
Nissan FB 14 1998,"Rs: 3,150,000",km Find,"2026-02-21 | Pilimatalawa 185,000",silver,Used,1500,Petrol,Nissan,185000,FB 14,1998,1500,1998,Automatic,Car(Hatchback)
Honda Civic 2003,"Rs: 4,900,000",km Find,"2026-02-21 | Kandy 195,000",red,Used,1500,Petrol,Honda,195000,Civic,2003,1500,2003,Automatic,Car(Sedan)
Toyota Yaris 2023,"Rs: 8,900,000",km Find,"2026-02-21 | Negombo 1,200",white,Brand New,1200,Petrol,Toyota,1200,Yaris,2023,1200,2023,Automatic,Car(Hatchback)
Toyota Prius 2014,"Rs: 9,500,000",km Find,"2026-02-21 | Colombo Fort (Colombo 01) 132,000",silver,Used,1200,Petrol,Toyota,132000,Prius,2014,1200,2015,Automatic,Car(Hatchback)
Toyota Vitz 2019,"Rs: 8,300,000",km Find,"2026-02-21 | Colombo Fort (Colombo 01) 49,000",white,Used,1200,Petrol,Toyota,49000,Vitz,2019,1200,2019,Automatic,Car(Hatchback)
Daihatsu Mira 2024,"Rs: 7,200,000",km Find,"2026-02-21 | Kollupitiya (Colombo 03) 2,400",blue,Brand New,660,Petrol,Daihatsu,2400,Mira,2024,660,Ref:,Automatic,Car(Hatchback)
Toyota Passo 2009,"Rs: 4,650,000",km Find,"2026-02-21 | Gampaha 131,275",silver,Used,1000,Petrol,Toyota,131275,Passo,2009,1000,2011,Automatic,Car(Hatchback)
Suzuki Wagon R 2014,"Rs: 5,050,000",km Find,"2026-02-21 | Homagama 112,000",white,Used,650,Petrol,Suzuki,112000,Wagon R,2014,650,2015,Automatic,Car(Hatchback)
Honda Civic 2017,"Rs: 12,500,000",km Find,"2026-02-19 | Telijjawila 82,285",silver,Used,1000,Petrol,Honda,82285,Civic,2017,1000,2018,Automatic,Car()
KIA Sephia 2002,"Rs: 2,600,000",km Find,"2026-02-10 | Mattegoda 162,481",gray,Used,1331,Petrol,KIA,162481,Sephia,2002,1331,2003,Automatic,Car(Sedan)
Toyota Belta 2007,"Rs: 5,500,000",km Find,"2026-02-06 | Homagama 166,600",silver,Used,1000,Petrol,Toyota,166600,Belta,2007,1000,2009,Automatic,Car(Saloon)
Suzuki Wagon R 2017,"Rs: 6,250,000",km Find,"2026-02-21 | Katana 120,000",brown,Used,650,Petrol,Suzuki,120000,Wagon R,2017,650,2017,Automatic,Car(Hatchback)
Toyota Yaris 2025,"Rs: 10,600,000",,2026-02-21 | Kollupitiya (Colombo 03) Find Out More,white,Brand New,1000,Petrol,Toyota,0,Yaris,2025,1000,Ref:,Automatic,Car(Hatchback)
Suzuki Wagon R 2014,"Rs: 5,550,000",km Find,"2026-02-21 | Alampil 98,000",silver,Used,650,Petrol,Suzuki,98000,Wagon R,2014,650,2015,Automatic,Car(Station wagon)
Toyota Aqua 2012,"Rs: 6,200,000",km Find,"2026-02-21 | Kadawatha 153,000",black,Used,1490,Petrol,Toyota,153000,Aqua,2012,1490,2013,Automatic,Car(Liftback)
Micro Panda 2014,"Rs: 3,250,000",km Find,"2026-02-21 | Kahathuduwa 85,000",red,Used,1300,Petrol,Micro,85000,Panda,2014,1300,2014,Manual,Car(Hatchback)
Toyota Allion 2007,"Rs: 7,800,000",km Find,"2026-02-21 | Homagama 260,000",red,Used,1500,Petrol,Toyota,260000,Allion,2007,1500,2007,Automatic,Car(Sedan)
Micro Panda 2018,"Rs: 3,850,000",km Find,"2026-02-21 | Kaleliya 65,600",black,Used,1000,Petrol,Micro,65600,Panda,2018,1000,2018,Tiptronic,Car(Hatchback)
Subaru R2 2003,"Rs: 3,000,000",km Find,"2026-02-21 | Moratuwa 182,000",gray,Used,650,Petrol,Subaru,182000,R2,2003,650,2003,Automatic,Car(Hatchback)
Honda City 2025,"Rs: 13,500,000",km Find,2026-02-21 | Kollupitiya (Colombo 03) 135,gray,Brand New,1000,Petrol,Honda,135,City,2025,1000,Ref:,Tiptronic,Car(Sedan)
Suzuki Wagon R 2025,"Rs: 8,590,000",,2026-02-21 | Wattala Find Out More,white,Brand New,650,Petrol,Suzuki,0,Wagon R,2025,650,Ref:,Automatic,Car(Hatchback)
Toyota Vitz 2007,"Rs: 5,150,000",km Find,"2026-02-21 | Ratmalana 188,200",blue,Used,1000,Petrol,Toyota,188200,Vitz,2007,1000,2010,Automatic,Car(Hatchback)
Nissan Primera 2001,"Rs: 4,200,000",km Find,"2026-02-21 | Galle 128,887",gold,Used,1990,Petrol,Nissan,128887,Primera,2001,1990,2004,Automatic,Car(Saloon)
Toyota Roomy 2024,"Rs: 10,900,000",km Find,"2026-02-21 | Kohuwala 4,000",white,Brand New,1000,Petrol,Toyota,4000,Roomy,2024,1000,Ref:,Automatic,Car(Hatchback)
Suzuki Wagon R 2025,"Rs: 8,200,000",km Find,2026-02-21 | Kohuwala 35,white,Brand New,650,Hybrid,Suzuki,35,Wagon R,2025,650,Ref:,Automatic,Car(Hatchback)
Toyota Vitz 2011,"Rs: 6,150,000",km Find,"2026-02-21 | Kiribathkumbura 115,000",black,Used,990,Petrol,Toyota,115000,Vitz,2011,990,2012,Automatic,Car(Hatchback)
Hyundai Eon 2018,"Rs: 4,500,000",km Find,"2026-02-21 | Kelaniya 65,000",gray,Used,814,Petrol,Hyundai,65000,Eon,2018,814,2019,Manual,Car(Saloon)
Toyota Aqua 2015,"Rs: 8,300,000",km Find,"2026-02-21 | Nugegoda 105,000",black,Used,1000,Petrol,Toyota,105000,Aqua,2015,1000,2015,Automatic,Car(Hatchback)
Honda Civic 2017,"Rs: 12,500,000",km Find,"2026-02-19 | Telijjawila 82,285",silver,Used,1000,Petrol,Honda,82285,Civic,2017,1000,2018,Automatic,Car()
KIA Sephia 2002,"Rs: 2,600,000",km Find,"2026-02-10 | Mattegoda 162,481",gray,Used,1331,Petrol,KIA,162481,Sephia,2002,1331,2003,Automatic,Car(Sedan)
Toyota Belta 2007,"Rs: 5,500,000",km Find,"2026-02-06 | Homagama 166,600",silver,Used,1000,Petrol,Toyota,166600,Belta,2007,1000,2009,Automatic,Car(Saloon)
Nissan AD Wagon 2009,"Rs: 1,275,000",km Find,"2026-02-21 | Negombo 150,000",silver,Used,1499,Petrol,Nissan,150000,AD Wagon,2009,1499,2014,Automatic,Car(Hatchback)
Chery QQ 2007,"Rs: 1,550,000",km Find,"2026-02-21 | Matugama 85,000",black,Used,800,Petrol,Chery,85000,QQ,2007,800,2007,Manual,Car(Hatchback)
Nissan N 17 2004,"Rs: 5,950,000",km Find,"2026-02-21 | Ratnapura 190,000",beige,Used,1500,Petrol,Nissan,190000,N 17,2004,1500,2004,Automatic,Car(Hatchback)
Toyota Vitz 2019,"Rs: 8,650,000",km Find,"2026-02-21 | Sainthamaruthu 81,700",white,Used,1000,Petrol,Toyota,81700,Vitz,2019,1000,2019,Automatic,Car(Hatchback)
Toyota Prius 2013,"Rs: 11,990,000",km Find,"2026-02-21 | Yatalamatta 61,000",white,Used,1790,Hybrid,Toyota,61000,Prius,2013,1790,2015,Automatic,Car(Hatchback)
Nissan Tiida 2008,"Rs: 6,275,000",km Find,"2026-02-21 | Nawala 167,000",black,Used,1500,Petrol,Nissan,167000,Tiida,2008,1500,2008,Automatic,Car(Hatchback)
Toyota Belta 2008,"Rs: 6,350,000",km Find,"2026-02-21 | Dehiwala 151,000",silver,Used,1300,Petrol,Toyota,151000,Belta,2008,1300,2011,Automatic,Car(Sedan)
Suzuki Spacia 2018,"Rs: 6,795,000",km Find,"2026-02-20 | Kurunegala 51,000",red,Used,650,Hybrid,Suzuki,51000,Spacia,2018,650,2018,Automatic,Car(Station wagon)
Perodua Viva 2010,"Rs: 4,200,000",km Find,"2026-02-20 | Gampaha 114,000",blue,Used,1000,Petrol,Perodua,114000,Viva,2010,1000,2010,Automatic,Car(Hatchback)
Mitsubishi i-MiEV 2013,"Rs: 3,500,000",km Find,"2026-02-20 | Kiribathgoda 90,000",white,Used,600,Electric,Mitsubishi,90000,i-MiEV,2013,600,2013,Automatic,Car(Saloon)
Mitsubishi Lancer 1980,"Rs: 800,000",km Find,"2026-02-20 | Warakapola 1,000,000",green,Used,1500,Petrol,Mitsubishi,1000000,Lancer,1980,1500,1983,Manual,Car(Saloon)
Honda Civic 2017,"Rs: 12,500,000",km Find,"2026-02-19 | Telijjawila 82,285",silver,Used,1000,Petrol,Honda,82285,Civic,2017,1000,2018,Automatic,Car()
KIA Sephia 2002,"Rs: 2,600,000",km Find,"2026-02-10 | Mattegoda 162,481",gray,Used,1331,Petrol,KIA,162481,Sephia,2002,1331,2003,Automatic,Car(Sedan)
Toyota Belta 2007,"Rs: 5,500,000",km Find,"2026-02-06 | Homagama 166,600",silver,Used,1000,Petrol,Toyota,166600,Belta,2007,1000,2009,Automatic,Car(Saloon)
Toyota Vitz 2007,"Rs: 5,375,000",km Find,"2026-02-20 | Dehiwala 150,000",white,Used,1000,Petrol,Toyota,150000,Vitz,2007,1000,2011,Automatic,Car(Liftback)
Mercedes Benz E Class 2013,"Rs: 16,000,000",km Find,"2026-02-20 | Piliyandala 78,000",white,Used,2143,Hybrid,Mercedes Benz,78000,E Class,2013,2143,2014,Automatic,Car(Sedan)
Honda Fit 2015,"Rs: 8,200,000",km Find,"2026-02-20 | Matara 90,000",white,Used,1500,Petrol,Honda,90000,Fit,2015,1500,2015,Automatic,Car(Hatchback)
Suzuki Estilo 2010,"Rs: 3,450,000",km Find,"2026-02-20 | Kahawatta 167,000",red,Used,1000,Petrol,Suzuki,167000,Estilo,2010,1000,2011,Manual,Car(Hatchback)
Suzuki Wagon R 2025,"Rs: 7,650,000",km Find,"2026-02-20 | Mattakkuliya (Colombo 15) 6,800",white,Brand New,650,Petrol,Suzuki,6800,Wagon R,2025,650,Ref:,Automatic,Car(Hatchback)
Audi A1 2018,"Rs: 9,000,000",km Find,"2026-02-20 | Katugastota 96,000",black,Used,1000,Petrol,Audi,96000,A1,2018,1000,2018,Automatic,Car(Hatchback)
Mitsubishi Lancer 1980,"Rs: 800,000",km Find,"2026-02-20 | Warakapola 1,000,000",blue,Used,1500,Petrol,Mitsubishi,1000000,Lancer,1980,1500,1985,Manual,Car(Saloon)
Suzuki Swift 2003,"Rs: 4,150,000",km Find,"2026-02-20 | Kandy 149,000",silver,Used,1300,Petrol,Suzuki,149000,Swift,2003,1300,2007,Automatic,Car(Hatchback)
Honda Civic 2017,"Rs: 12,500,000",km Find,"2026-02-19 | Telijjawila 82,285",silver,Used,1000,Petrol,Honda,82285,Civic,2017,1000,2018,Automatic,Car()
KIA Sephia 2002,"Rs: 2,600,000",km Find,"2026-02-10 | Mattegoda 162,481",gray,Used,1331,Petrol,KIA,162481,Sephia,2002,1331,2003,Automatic,Car(Sedan)
Toyota Belta 2007,"Rs: 5,500,000",km Find,"2026-02-06 | Homagama 166,600",silver,Used,1000,Petrol,Toyota,166600,Belta,2007,1000,2009,Automatic,Car(Saloon)
Perodua Viva 2011,"Rs: 3,650,000",km Find,2026-02-20 | Kaduwela 0,white,Used,660,Petrol,Perodua,00,Viva,2011,660,2011,Automatic,Car(Liftback)
Suzuki Alto 2006,"Rs: 2,650,000",km Find,"2026-02-20 | Kurunegala 123,456",white,Used,800,Petrol,Suzuki,123456,Alto,2006,800,2006,Manual,Car(Convertible)
Suzuki Hustler 2017,"Rs: 5,600,000",km Find,"2026-02-20 | Ja-Ela 125,112",red,Used,660,Petrol,Suzuki,125112,Hustler,2017,660,2019,Automatic,Car()
Suzuki Hustler 2025,"Rs: 8,250,000",,2026-02-20 | Nawala Find Out More,blue,Brand New,658,Petrol,Suzuki,0,Hustler,2025,658,Ref:,Automatic,Car(Hatchback)
Mitsubishi eK 2023,"Rs: 6,850,000",km Find,"2026-02-20 | Kottawa 6,600",silver,Brand New,660,Petrol,Mitsubishi,6600,eK,2023,660,Ref:,Automatic,Car(Hatchback)
Toyota Passo 2010,"Rs: 4,975,000",km Find,"2026-02-20 | Athurugiriya 200,000",black,Used,1000,Petrol,Toyota,200000,Passo,2010,1000,2011,Automatic,Car(Hatchback)
Toyota Yaris 2006,"Rs: 6,000,000",km Find,"2026-02-20 | Dehiwala 190,000",red,Used,1300,Petrol,Toyota,190000,Yaris,2006,1300,2006,Automatic,Car(Saloon)
Mitsubishi Lancer 1991,"Rs: 4,250,000",km Find,"2026-02-20 | Peradeniya 150,000",green,Used,1600,Petrol,Mitsubishi,150000,Lancer,1991,1600,1996,Manual,Car(Sedan)
Honda Civic 2017,"Rs: 12,500,000",km Find,"2026-02-19 | Telijjawila 82,285",silver,Used,1000,Petrol,Honda,82285,Civic,2017,1000,2018,Automatic,Car()
KIA Sephia 2002,"Rs: 2,600,000",km Find,"2026-02-10 | Mattegoda 162,481",gray,Used,1331,Petrol,KIA,162481,Sephia,2002,1331,2003,Automatic,Car(Sedan)
Toyota Belta 2007,"Rs: 5,500,000",km Find,"2026-02-06 | Homagama 166,600",silver,Used,1000,Petrol,Toyota,166600,Belta,2007,1000,2009,Automatic,Car(Saloon)
Suzuki Alto 2015,"Rs: 3,490,000",km Find,"2026-02-20 | Hanwella 128,000",blue,Used,650,Petrol,Suzuki,128000,Alto,2015,650,2015,Manual,Car(Hatchback)
Suzuki Wagon R 2024,"Rs: 7,750,000",km Find,"2026-02-20 | Ampara 7,600",silver,Brand New,660,Hybrid,Suzuki,7600,Wagon R,2024,660,Ref:,Automatic,Car(Hatchback)
Mitsubishi Lancer 1989,"Rs: 1,450,000",km Find,"2026-02-20 | Peradeniya 190,000",white,Used,1200,Petrol,Mitsubishi,190000,Lancer,1989,1200,1995,Manual,Car(Sedan)
Honda Insight 2011,"Rs: 7,850,000",km Find,"2026-02-20 | Galle 176,000",silver,Used,1300,Hybrid,Honda,176000,Insight,2011,1300,2013,Automatic,Car()
Suzuki Alto 2024,"Rs: 6,475,000",km Find,"2026-02-20 | Kalagedihena 9,300",silver,Reconditioned,650,Petrol,Suzuki,9300,Alto,2024,650,2024,Automatic,Car(Sedan)
Suzuki Wagon R 2024,"Rs: 7,150,000",km Find,"2026-02-20 | Kottawa 6,600",other,Brand New,660,Petrol,Suzuki,6600,Wagon R,2024,660,Ref:,Automatic,Car(Hatchback)
Suzuki Spacia 2025,"Rs: 8,400,000",,2026-02-20 | Kurunegala Find Out More,white,Brand New,660,Hybrid,Suzuki,0,Spacia,2025,660,2025,Automatic,Car(Liftback)
Suzuki Wagon R 2014,"Rs: 5,550,000",,2026-02-20 | Kandy Find Out More,silver,Used,658,Hybrid,Suzuki,0,Wagon R,2014,658,2016,Automatic,Car(Hatchback)
Honda Civic 2017,"Rs: 12,500,000",km Find,"2026-02-19 | Telijjawila 82,285",silver,Used,1000,Petrol,Honda,82285,Civic,2017,1000,2018,Automatic,Car()
KIA Sephia 2002,"Rs: 2,600,000",km Find,"2026-02-10 | Mattegoda 162,481",gray,Used,1331,Petrol,KIA,162481,Sephia,2002,1331,2003,Automatic,Car(Sedan)
Toyota Belta 2007,"Rs: 5,500,000",km Find,"2026-02-06 | Homagama 166,600",silver,Used,1000,Petrol,Toyota,166600,Belta,2007,1000,2009,Automatic,Car(Saloon)
Suzuki Maruti 2007,"Rs: 2,700,000",km Find,2026-02-20 | Kurunegala 0,maroon,Used,0000,Petrol,Suzuki,0000,Maruti,2007,0000,2007,Manual,Car(Hatchback)
Suzuki Alto 2015,"Rs: 3,600,000",km Find,"2026-02-20 | Buttala 116,000",silver,Used,796,Petrol,Suzuki,116000,Alto,2015,796,2015,Manual,Car(Hatchback)
Suzuki Wagon R 2017,"Rs: 4,700,000",km Find,2026-02-20 | Kurunegala 0,white,Used,0000,Petrol,Suzuki,0000,Wagon R,2017,0000,2017,Manual,Car(Hatchback)
Daihatsu Mira 2017,"Rs: 5,490,000",km Find,"2026-02-20 | Kalagedihena 88,000",brown,Used,650,Petrol,Daihatsu,88000,Mira,2017,650,2017,Automatic,Car(Sedan)
Hyundai Matrix 2001,"Rs: 2,750,000",km Find,"2026-02-20 | Dehiwala 171,132",blue,Used,1599,Petrol,Hyundai,171132,Matrix,2001,1599,2005,Automatic,Car(Hatchback)
Nissan Dayz 2024,"Rs: 7,150,000",km Find,"2026-02-20 | Kottawa 6,600",black,Brand New,660,Petrol,Nissan,6600,Dayz,2024,660,Ref:,Automatic,Car(Hatchback)
Suzuki Zen 2004,"Rs: 2,250,000",km Find,"2026-02-20 | Galewela 130,000",silver,Used,1000,Petrol,Suzuki,130000,Zen,2004,1000,2005,Manual,Car(Hatchback)
Toyota Aqua 2015,"Rs: 7,800,000",km Find,"2026-02-20 | Ratnapura 124,000",purple,Used,1500,Hybrid,Toyota,124000,Aqua,2015,1500,2015,Automatic,Car(Saloon)
Honda City 2003,"Rs: 4,350,000",km Find,"2026-02-20 | Piliyandala 190,000",blue,Used,1490,Petrol,Honda,190000,City,2003,1490,2007,Automatic,Car(Hatchback)
Nissan N 16 2000,"Rs: 3,950,000",km Find,"2026-02-20 | Ganemulla 145,000",maroon,Used,1300,Petrol,Nissan,145000,N 16,2000,1300,2001,Manual,Car(Saloon)
Toyota Axio 2015,"Rs: 10,250,000",km Find,"2026-02-20 | Kurunegala 137,000",white,Used,1500,Petrol,Toyota,137000,Axio,2015,1500,2015,Automatic,Car(Convertible)
Daihatsu Cast 2023,"Rs: 7,300,000",km Find,"2026-02-20 | Kottawa 6,600",brown,Brand New,660,Petrol,Daihatsu,6600,Cast,2023,660,Ref:,Automatic,Car(Hatchback)
Nissan FB 15 2003,"Rs: 4,850,000",km Find,"2026-02-20 | Giriulla 190,000",silver,Used,1490,Petrol,Nissan,190000,FB 15,2003,1490,2006,Automatic,Car(Saloon)
Toyota Premio 2008,"Rs: 8,500,000",km Find,"2026-02-20 | Kandy 128,000",red,Used,1500,Petrol,Toyota,128000,Premio,2008,1500,2010,Automatic,Car(Saloon)
Perodua Kelisa 2007,"Rs: 2,850,000",km Find,"2026-02-20 | Matale 176,000",blue,Used,1000,Petrol,Perodua,176000,Kelisa,2007,1000,2007,Manual,Car(Hatchback)
Toyota Axio 2007,"Rs: 7,250,000",km Find,"2026-02-20 | Matale 160,000",silver,Used,1500,Petrol,Toyota,160000,Axio,2007,1500,2010,Automatic,Car(Sedan)
Honda Civic 2017,"Rs: 12,500,000",km Find,"2026-02-19 | Telijjawila 82,285",silver,Used,1000,Petrol,Honda,82285,Civic,2017,1000,2018,Automatic,Car()
KIA Sephia 2002,"Rs: 2,600,000",km Find,"2026-02-10 | Mattegoda 162,481",gray,Used,1331,Petrol,KIA,162481,Sephia,2002,1331,2003,Automatic,Car(Sedan)
Toyota Belta 2007,"Rs: 5,500,000",km Find,"2026-02-06 | Homagama 166,600",silver,Used,1000,Petrol,Toyota,166600,Belta,2007,1000,2009,Automatic,Car(Saloon)
Toyota Prius 2014,"Rs: 10,800,000",km Find,"2026-02-20 | Kalutara 144,000",white,Used,1800,Hybrid,Toyota,144000,Prius,2014,1800,2014,Automatic,Car(Hatchback)
Nissan Dayz 2024,"Rs: 7,325,000",km Find,"2026-02-20 | Kottawa 6,600",black,Brand New,660,Petrol,Nissan,6600,Dayz,2024,660,Ref:,Automatic,Car(Hatchback)
BMW 5 Series 2010,"Rs: 16,900,000",km Find,"2026-02-20 | Pita Kotte 160,000",black,Used,2497,Petrol,BMW,160000,5 Series,2010,2497,2010,Automatic,Car()
Nissan ExSunny 2003,"Rs: 4,600,000",km Find,"2026-02-20 | Panadura 221,113",silver,Used,1290,Petrol,Nissan,221113,ExSunny,2003,1290,2006,Automatic,Car(Saloon)
Toyota Axio 2017,"Rs: 11,750,000",km Find,"2026-02-20 | Kohuwala 121,000",other,Used,1500,Hybrid,Toyota,121000,Axio,2017,1500,2017,Automatic,Car(Saloon)
Suzuki Spacia 2023,"Rs: 9,250,000",,2026-02-20 | Kohuwala Find Out More,silver,Reconditioned,658,Petrol,Suzuki,0,Spacia,2023,658,2023,Automatic,Car(Hatchback)
Honda Civic 2003,"Rs: 5,625,000",km Find,"2026-02-20 | Colombo Fort (Colombo 01) 212,647",silver,Used,1490,Petrol,Honda,212647,Civic,2003,1490,2007,Automatic,Car(Hatchback)
